"Date","Price"
2014-08-18,560.775402699704
2014-08-19,590.368130327159
2014-08-20,626.987647697204
2014-08-21,628.717579777829
2014-08-22,628.987428209099
2014-08-23,605.505249423844
2014-08-24,619.582972600568
2014-08-25,610.160226316624
2014-08-26,622.66190296187
2014-08-27,622.427172627394
2014-08-28,618.121181821507
2014-08-29,619.561633479252
2014-08-30,611.554829347998
2014-08-31,585.333682888463
2014-09-01,580.204611688961
2014-09-02,578.831347778902
2014-09-03,578.870977575632
2014-09-04,596.943628138375
2014-09-05,585.597312490092
2014-09-06,588.17788291529
2014-09-07,586.036288700021
2014-09-08,574.479630284481
2014-09-09,575.246375397822
2014-09-10,581.782243412308
2014-09-11,580.884415125169
2014-09-12,577.604287334317
2014-09-13,580.425684985794
2014-09-14,578.954748869027
