"Date","Price"
2014-08-19,323.746740923825
2014-08-20,349.783672497305
2014-08-21,352.943755084674
2014-08-22,345.286997681534
2014-08-23,328.759422240117
2014-08-24,343.269378735539
2014-08-25,334.858178150828
2014-08-26,344.703020080971
2014-08-27,341.69298155135
2014-08-28,336.829337565599
2014-08-29,339.116923226468
2014-08-30,334.899773320584
2014-08-31,319.029342826857
2014-09-01,315.142366992653
2014-09-02,310.90602290865
2014-09-03,317.769119519921
2014-09-04,328.423754610346
2014-09-05,325.502000626729
2014-09-06,328.40006580377
2014-09-07,327.982731482267
2014-09-08,327.209083308726
2014-09-09,327.245754585517
2014-09-10,336.290769140063
2014-09-11,338.251254867004
2014-09-12,335.344507713501
2014-09-13,339.413345710675
2014-09-14,344.276853146114
2014-09-15,337.70147874041
